epoch,accuracy,loss,val_accuracy,val_loss
1,0.308270663022995,3.934589147567749,0.21359223127365112,14.739490509033203
2,0.308270663022995,3.9201595783233643,0.21359223127365112,13.926654815673828
3,0.30075186491012573,3.9060416221618652,0.21359223127365112,13.172526359558105
4,0.30075186491012573,3.8919742107391357,0.21359223127365112,12.460799217224121
5,0.30075186491012573,3.8779406547546387,0.21359223127365112,11.786417961120605
6,0.30075186491012573,3.863921880722046,0.21359223127365112,11.14775562286377
7,0.30075186491012573,3.849897623062134,0.21359223127365112,10.53199291229248
8,0.30075186491012573,3.8357648849487305,0.21359223127365112,9.970763206481934
9,0.30075186491012573,3.821502923965454,0.21359223127365112,9.48093318939209
10,0.30075186491012573,3.8070907592773438,0.21359223127365112,9.046913146972656
11,0.30075186491012573,3.792557716369629,0.0,8.673355102539062
12,0.30075186491012573,3.77791166305542,0.21359223127365112,8.35362434387207
13,0.30075186491012573,3.763211488723755,0.21359223127365112,8.079546928405762
14,0.30075186491012573,3.7484779357910156,0.21359223127365112,7.83889102935791
15,0.30075186491012573,3.7337284088134766,0.21359223127365112,7.6181864738464355
16,0.30075186491012573,3.718975067138672,0.21359223127365112,7.409300804138184
17,0.30075186491012573,3.704214572906494,0.21359223127365112,7.217531681060791
18,0.30075186491012573,3.6894073486328125,0.21359223127365112,7.038815021514893
19,0.30075186491012573,3.674603223800659,0.21359223127365112,6.868934631347656
20,0.30075186491012573,3.659806251525879,0.21359223127365112,6.706626892089844
