epoch,accuracy,loss,val_accuracy,val_loss
1,0.6469104886054993,1.1162523031234741,0.7257079482078552,1.5045979022979736
2,0.8225544691085815,0.6205691695213318,0.8151026964187622,1.011797547340393
3,0.8656098246574402,0.44679248332977295,0.9144919514656067,0.5381919741630554
4,0.9032606482505798,0.321209192276001,0.9750138521194458,0.2649714946746826
5,0.9230769276618958,0.2386397421360016,0.9833425879478455,0.16603733599185944
6,0.9295622706413269,0.19925735890865326,0.9800111055374146,0.13844838738441467
7,0.9331651926040649,0.178369402885437,0.9811215996742249,0.13332676887512207
8,0.9340659379959106,0.16469241678714752,0.9739033579826355,0.13223114609718323
9,0.9353269934654236,0.1550312638282776,0.9716823697090149,0.12992188334465027
10,0.9362276792526245,0.1478358507156372,0.9666851758956909,0.13056549429893494
11,0.9376688599586487,0.1422395408153534,0.9661298990249634,0.1297328621149063
12,0.9394703507423401,0.13755543529987335,0.9677956700325012,0.1279420703649521
13,0.9412718415260315,0.1336963027715683,0.968350887298584,0.12625490128993988
14,0.9427130222320557,0.130341574549675,0.9689061641693115,0.12416169792413712
15,0.9434336423873901,0.12743060290813446,0.9700166583061218,0.12146352231502533
16,0.9434336423873901,0.12470319122076035,0.9711271524429321,0.11851350963115692
17,0.9446946382522583,0.12210624665021896,0.9711271524429321,0.11843711137771606
18,0.9452350735664368,0.11965041607618332,0.9694613814353943,0.11997677385807037
19,0.9457755088806152,0.11747611314058304,0.9700166583061218,0.1210407242178917
20,0.9461358189582825,0.11542615294456482,0.9700166583061218,0.12343884259462357
21,0.9468564391136169,0.1135355532169342,0.9700166583061218,0.12727661430835724
22,0.9472166895866394,0.11175615340471268,0.9694613814353943,0.13237959146499634
23,0.9473968744277954,0.11005421727895737,0.9672403931617737,0.1384933888912201
24,0.9484777450561523,0.10827121138572693,0.9650194048881531,0.14514239132404327
