epoch,accuracy,loss,val_accuracy,val_loss
1,0.604327917098999,0.3939514756202698,0.3009708821773529,1.6792285442352295
2,0.7827234268188477,0.23218613862991333,0.5048543810844421,1.3905982971191406
3,0.8249472379684448,0.17797067761421204,0.5048543810844421,1.2573436498641968
4,0.8615411520004272,0.14310088753700256,0.5242718458175659,1.3342033624649048
5,0.8886347413063049,0.11572866886854172,0.5436893105506897,1.4236987829208374
6,0.9027093648910522,0.09606876969337463,0.5631067752838135,1.5729146003723145
7,0.9097466468811035,0.08281835913658142,0.582524299621582,1.712441325187683
8,0.9150246381759644,0.07345213741064072,0.5728155374526978,1.892648696899414
9,0.9190710783004761,0.06650511175394058,0.5631067752838135,2.041194438934326
10,0.9224137663841248,0.06121522933244705,0.5631067752838135,2.1508567333221436
11,0.9275158047676086,0.05692612752318382,0.5631067752838135,2.2373569011688232
