accuracy,loss,val_accuracy,val_loss
0.6132228374481201,1.1976059675216675,0.6840643882751465,1.5972225666046143
0.8065213561058044,0.6935176849365234,0.769017219543457,1.2484065294265747
0.8463339805603027,0.5083131790161133,0.8639644384384155,0.8117560744285583
0.8798414468765259,0.3968935012817383,0.8933925628662109,0.47628548741340637
0.9095658659934998,0.3041225075721741,0.9605774283409119,0.29696124792099
0.9237974882125854,0.23836597800254822,0.9639089107513428,0.2047775685787201
0.9315438866615295,0.1989014744758606,0.9672403931617737,0.15874083340168
0.9351468086242676,0.17616531252861023,0.9694613814353943,0.13294291496276855
0.9385696053504944,0.16226030886173248,0.9666851758956909,0.1183195635676384
0.9403710961341858,0.1523514688014984,0.9677956700325012,0.1110285297036171
0.940731406211853,0.14515438675880432,0.9705718755722046,0.10623858869075775
0.9423527121543884,0.1393481194972992,0.9711271524429321,0.10363759100437164
0.9430733323097229,0.1345641165971756,0.9727928638458252,0.1017485186457634
0.9432534575462341,0.13047856092453003,0.9727928638458252,0.0999065712094307
0.9439740777015686,0.12695427238941193,0.9716823697090149,0.09856186807155609
0.9439740777015686,0.12392080575227737,0.9733481407165527,0.0975647121667862
0.9450549483299255,0.1212545707821846,0.9733481407165527,0.09710688143968582
0.9454152584075928,0.11888916045427322,0.9739033579826355,0.0962929055094719
0.9461358189582825,0.11666449904441833,0.9739033579826355,0.0950508862733841
0.9470365643501282,0.11462940275669098,0.9739033579826355,0.09439916163682938
0.9472166895866394,0.11277531087398529,0.9739033579826355,0.09456919133663177
0.9479373097419739,0.11103824526071548,0.9739033579826355,0.09385594725608826
0.9490181803703308,0.10941486805677414,0.9739033579826355,0.09432206302881241
0.949378490447998,0.10791373997926712,0.9733481407165527,0.09460590779781342
0.9491983652114868,0.10644037276506424,0.9733481407165527,0.09552324563264847
0.9490181803703308,0.1050451397895813,0.9722376465797424,0.09629593044519424
0.9502792358398438,0.10373149812221527,0.9716823697090149,0.09926345199346542
0.9497388005256653,0.10238942503929138,0.9716823697090149,0.10069824755191803
0.950639545917511,0.10111789405345917,0.9716823697090149,0.10101819783449173
0.9515402913093567,0.09986550360918045,0.9711271524429321,0.10135701298713684
