class,precision,recall,f1-score,support
WALKING,1.0,0.8181818181818182,0.9,22.0
WALKING_UPSTAIRS,1.0,0.8333333333333334,0.9090909090909091,6.0
WALKING_DOWNSTAIRS,0.6428571428571429,1.0,0.782608695652174,9.0
SITTING,0.0,0.0,0.0,22.0
STANDING,1.0,1.0,1.0,22.0
LAYING,0.5,1.0,0.6666666666666666,22.0
macro avg,0.6904761904761904,0.7752525252525252,0.7097277119016249,103.0
weighted avg,0.6484049930651872,0.7378640776699029,0.6695601007969095,103.0
