time_ms,ax,ay,az,gx,gy,gz,label
2393,-0.93,0.51,0.38,205.63,-14.89,11.47,walk_up
2419,-0.89,0.19,0.07,129.58,7.69,1.83,walk_up
2445,-0.86,-0.17,-0.25,14.22,5.62,32.96,walk_up
2472,-0.6,-0.18,-0.21,-6.77,32.04,27.16,walk_up
2499,-0.71,-0.22,-0.26,-10.68,17.21,29.79,walk_up
2525,-0.8,-0.11,-0.29,-35.28,15.14,24.48,walk_up
2552,-0.91,-0.08,-0.26,16.3,-8.18,18.37,walk_up
2579,-0.98,-0.01,-0.09,65.25,-47.85,7.02,walk_up
2605,-1.21,0.03,0.04,52.19,-40.77,-4.76,walk_up
2631,-1.53,0.09,-0.04,41.81,-20.51,-2.75,walk_up
2658,-1.77,0.08,0.01,59.08,-48.52,15.2,walk_up
2684,-1.87,-0.21,0.27,48.34,-42.97,46.08,walk_up
2711,-1.74,-0.16,0.29,2.38,7.87,41.2,walk_up
2738,-1.86,0.05,0.41,-68.05,63.35,49.19,walk_up
2764,-1.7,-0.25,0.74,-140.5,125.0,13.92,walk_up
2790,-1.52,-0.18,0.49,-216.43,168.58,9.34,walk_up
2817,-1.38,-0.23,0.21,-264.34,160.1,2.5,walk_up
2843,-1.26,0.18,-0.05,-286.74,91.86,-38.82,walk_up
2869,-1.81,0.31,0.08,-245.48,22.4,-120.67,walk_up
2895,-0.93,0.26,0.15,-217.9,47.67,-123.35,walk_up
2921,-0.68,-0.82,0.38,-49.5,51.33,-116.94,walk_up
2947,-0.53,-1.01,-0.12,22.03,64.39,-87.1,walk_up
2973,-0.37,-0.25,-0.11,-59.81,16.66,-75.26,walk_up
3000,-0.72,0.52,0.13,-101.87,8.97,-97.78,walk_up
3026,-0.92,0.59,-0.1,-41.26,4.39,-113.46,walk_up
3052,-0.55,0.01,-0.0,-39.06,-1.71,-77.94,walk_up
3078,-0.22,-0.23,0.09,-41.32,-2.93,-59.2,walk_up
3105,0.04,-0.24,0.14,-29.11,-37.72,-49.13,walk_up
3131,-0.06,0.09,0.09,-8.12,-64.64,-29.54,walk_up
3157,-0.19,0.26,0.03,9.4,-61.04,4.7,walk_up
3183,-0.36,0.39,0.02,13.55,-59.2,46.69,walk_up
3209,-0.52,0.34,-0.26,1.89,-67.38,82.4,walk_up
3236,-0.4,0.32,0.09,19.1,-39.0,117.68,walk_up
3262,-2.12,-0.38,0.83,11.72,-20.94,149.35,walk_up
3288,-2.94,1.03,-0.08,1.77,-22.22,70.5,walk_up
3314,-1.27,1.16,0.08,98.33,-97.96,38.88,walk_up
3341,-0.96,-0.05,0.47,100.71,0.31,34.24,walk_up
3367,-0.89,-0.22,0.3,-38.82,5.13,55.54,walk_up
3393,-0.68,-0.34,-0.39,44.98,-30.15,48.22,walk_up
3419,-0.46,-0.52,-0.19,127.87,-34.42,54.26,walk_up
3445,-0.57,-0.5,-0.24,16.66,-7.81,69.7,walk_up
3471,-1.0,-0.41,-0.11,-34.42,-3.72,81.3,walk_up
3497,-1.57,-0.26,-0.14,15.69,-28.38,66.53,walk_up
3523,-1.91,-0.04,-0.12,101.07,-48.58,34.18,walk_up
3549,-1.5,0.43,0.1,154.91,-56.64,34.55,walk_up
3576,-0.84,0.89,0.16,164.55,-69.03,31.13,walk_up
3602,-0.88,0.83,0.74,40.89,-5.74,8.12,walk_up
3628,-0.83,0.41,-0.15,91.49,19.71,-20.81,walk_up
3654,-0.85,0.01,-0.21,155.46,29.05,0.79,walk_up
3680,-0.87,-0.32,-0.23,117.19,6.47,40.16,walk_up
3706,-0.76,-0.29,-0.1,80.63,18.68,29.97,walk_up
3732,-0.94,-0.26,-0.21,83.56,30.09,39.73,walk_up
3758,-1.02,-0.11,-0.3,12.63,13.67,51.15,walk_up
3784,-1.1,0.09,-0.26,26.92,-18.55,31.01,walk_up
3810,-1.38,0.15,-0.13,91.43,-47.55,6.23,walk_up
3836,-1.57,0.11,0.07,114.81,-57.68,-2.93,walk_up
3862,-1.77,-0.28,0.85,11.29,-91.98,0.12,walk_up
3888,-1.96,-0.34,0.68,-199.04,21.3,72.81,walk_up
3914,-1.53,0.12,0.48,-120.06,53.22,50.23,walk_up
3940,-1.25,-0.04,0.51,-140.75,91.67,-11.72,walk_up
3966,-1.58,-0.26,0.31,-175.66,129.7,-42.24,walk_up
3993,-1.48,-0.31,-0.1,-226.87,148.44,-56.64,walk_up
4020,-1.15,0.02,-0.25,-199.77,118.16,-75.01,walk_up
4046,-1.14,0.84,0.11,-111.33,73.97,-115.6,walk_up
4072,-1.45,0.0,0.45,-333.56,25.02,-127.01,walk_up
4098,-1.18,-0.55,1.06,-186.22,22.52,-122.99,walk_up
4124,-0.64,-0.78,-0.26,49.56,62.5,-94.85,walk_up
4150,-0.38,-0.08,0.08,-47.85,22.89,-80.44,walk_up
4177,-0.68,0.5,0.12,-40.04,19.17,-88.38,walk_up
4203,-0.9,0.33,-0.22,-13.67,1.1,-84.84,walk_up
4229,-0.67,-0.1,-0.1,2.56,2.99,-58.23,walk_up
4255,-0.38,-0.09,-0.01,-28.99,-3.54,-40.47,walk_up
4281,-0.28,-0.16,0.11,-2.69,-17.94,-33.26,walk_up
4307,-0.01,-0.03,0.1,-4.7,-37.41,-18.01,walk_up
4333,-0.0,0.17,0.02,-25.33,-68.73,1.95,walk_up
4359,-0.21,0.44,-0.04,-30.4,-85.63,30.7,walk_up
4385,-0.38,0.35,-0.17,-18.92,-93.81,60.67,walk_up
4411,-0.59,0.33,-0.15,-12.76,-67.93,87.83,walk_up
4437,-0.8,0.32,0.43,32.71,-32.1,123.05,walk_up
4463,-3.26,-0.31,0.24,44.8,-7.63,132.2,walk_up
