Model,UCI INT8 Macro F1,V2 Group INT8 Macro F1,Right 60s INT8 Macro F1,Left 30s INT8 Macro F1,Right-Left Gap,Worst-Class Recall,Main Failure,Decision,UCI FP32 Macro F1,V2 Group FP32 Macro F1,Right 60s FP32 Macro F1,Left 30s FP32 Macro F1
UCI-only baseline,0.9024800475879928,0.0586666666666666,0.0526315789473684,0.0535279805352798,-0.0008964015879114051,0.0,right_60s: WALKING->LAYING (45); right_60s: SITTING->LAYING (45),Rejected: source benchmark only; Arduino replay collapses,0.9040587941825002,0.0586666666666666,0.0526315789473684,0.0535279805352798
Arduino-only,0.1082250528613327,0.4686373873873874,0.8049832966985108,0.5093795093795094,0.2956037873190014,0.0,right_60s: SITTING->LAYING (37); left_30s: SITTING->LAYING (22),Rejected: strong left replay but poor UCI retention and weaker right replay,0.0919980348808646,0.4857142857142857,0.5162815126050421,0.73
UCI pretrain + V2.1 fine-tune,0.46300706934259,0.1986111111111111,0.2581682749280514,0.344163372859025,-0.0859950979309736,0.0,right_60s: STANDING->WALKING (45); right_60s: LAYING->WALKING_DOWNSTAIRS (45),Rejected: weak target-domain validation,0.4563263168998084,0.1986111111111111,0.2661016949152542,0.3165615839831868
Mixed 6-channel DS-CNN,0.796014713999562,0.7308802308802309,0.774073616770246,0.3885858585858586,0.3854877581843874,0.0,right_60s: WALKING_UPSTAIRS->WALKING_DOWNSTAIRS (30); left_30s: SITTING->LAYING (22),Selected controlled-demo candidate; robustness warning for left static postures,0.7932142674951451,0.7097277119016249,0.7647422609427834,0.3720735785953177
Mixed focal 6-channel DS-CNN,0.7396427046162072,0.709904474610357,0.7356890206212087,0.5642508510725565,0.1714381695486522,0.0,right_60s: WALKING_UPSTAIRS->WALKING_DOWNSTAIRS (29); left_30s: SITTING->LAYING (22),"Intermediate/rejected: good V2 grouped, weaker right controlled replay",0.8123760218231489,0.7651298789609683,0.5555555555555555,0.407020202020202
Mixed 10-channel gravity DS-CNN,0.8832075485681722,0.6189170536996623,0.5654707050055887,0.6855921855921855,-0.12012148058659677,0.0,right_60s: SITTING->LAYING (45); right_60s: WALKING_UPSTAIRS->WALKING_DOWNSTAIRS (26),Robustness candidate; not selected due weaker right replay and 10-channel cost,0.8784197448430361,0.6097883597883598,0.5548463655769015,0.6986827551533433
