Model,UCI Acc,UCI Macro F1,V2 Group Acc,V2 Group Macro F1,Right 60s Acc,Right 60s Macro F1,Left 30s Acc,Left 30s Macro F1,Decision
UCI-only baseline,0.9049881235154394,0.9040587941825002,0.2135922330097087,0.0586666666666666,0.1875,0.0526315789473684,0.1913043478260869,0.0535279805352798,Rejected: UCI benchmark only; Arduino validation collapses to LAYING
Arduino-only,0.181201221581269,0.0919980348808646,0.5339805825242718,0.4857142857142857,0.6041666666666666,0.5162815126050421,0.7739130434782608,0.73,Rejected: right/left tradeoff and UCI retention too weak
UCI pretrain + V2.1 fine-tune,0.5123854767560231,0.4563263168998084,0.4174757281553398,0.1986111111111111,0.3708333333333333,0.2661016949152542,0.3826086956521739,0.3165615839831868,Rejected: weak target-domain validation
Mixed 6-channel DS-CNN,0.7957244655581948,0.7932142674951451,0.7378640776699029,0.7097277119016249,0.8583333333333333,0.7647422609427834,0.4260869565217391,0.3720735785953177,Selected M3 candidate build; not fully validated due left static-posture collapse
Mixed focal 6-channel DS-CNN,0.8160841533763149,0.8123760218231489,0.7766990291262136,0.7651298789609683,0.6875,0.5555555555555555,0.4521739130434782,0.407020202020202,"Intermediate/rejected: good V2 and UCI, weaker right_60s than selected candidate"
Mixed 10-channel gravity DS-CNN,0.8791991856124872,0.8784197448430361,0.6699029126213593,0.6097883597883598,0.6666666666666666,0.5548463655769015,0.7478260869565218,0.6986827551533433,"Intermediate/rejected: better left_30s, but right_60s weaker and 10-channel deployment is more complex"
