epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.6458295583724976,1.0696781873703003,0.6690727472305298,1.4889899492263794,0.0010000000474974513
2,0.826878011226654,0.5874992609024048,0.7895613312721252,1.0110867023468018,0.0009900990407913923
3,0.8737164735794067,0.41682079434394836,0.906163215637207,0.5298267602920532,0.0009803922148421407
4,0.9045217037200928,0.3051645755767822,0.9700166583061218,0.2701801061630249,0.0009708738070912659
5,0.9198342561721802,0.23957034945487976,0.9783453345298767,0.17082855105400085,0.000961538462433964
6,0.9277607798576355,0.20329751074314117,0.9755691289901733,0.14985382556915283,0.0009523809421807528
7,0.9333453178405762,0.18170712888240814,0.9644641876220703,0.1457800418138504,0.0009433962404727936
8,0.9362276792526245,0.1680208146572113,0.9644641876220703,0.14193905889987946,0.0009345794678665698
9,0.9373086094856262,0.1585952788591385,0.9644641876220703,0.13987469673156738,0.0009259259095415473
10,0.9387497901916504,0.1517060548067093,0.9661298990249634,0.14084474742412567,0.0009174311999231577
11,0.9398306608200073,0.14626680314540863,0.9661298990249634,0.1438930183649063,0.0009090909152291715
12,0.9421725869178772,0.14184007048606873,0.9661298990249634,0.1485680192708969,0.0009009009227156639
13,0.9434336423873901,0.1380903571844101,0.9672403931617737,0.1531064510345459,0.0008928571478463709
14,0.9445145130157471,0.13465720415115356,0.9655746817588806,0.15693038702011108,0.0008849557489156723
15,0.9452350735664368,0.1314338594675064,0.9661298990249634,0.16205352544784546,0.0008771930006332695
16,0.945595383644104,0.12861967086791992,0.9655746817588806,0.16262571513652802,0.0008695652359165251
17,0.9452350735664368,0.12602129578590393,0.9650194048881531,0.16340675950050354,0.0008620689623057842
