epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.6379817128181458,0.6410995125770569,0.6396446228027344,1.0049136877059937,0.0010000000474974513
2,0.795576274394989,0.272032767534256,0.7873403429985046,0.60453200340271,0.0009900990407913923
3,0.8337653279304504,0.18705284595489502,0.8983897566795349,0.2634183168411255,0.0009803922148421407
4,0.8638327121734619,0.13979950547218323,0.9444752931594849,0.12382147461175919,0.0009708738070912659
5,0.8864696621894836,0.11077984422445297,0.977790117263794,0.07219484448432922,0.000961538462433964
6,0.9009849429130554,0.09296409785747528,0.9855635762214661,0.052609290927648544,0.0009523809421807528
7,0.9085882306098938,0.08075641095638275,0.9866740703582764,0.048617374151945114,0.0009433962404727936
8,0.9156730771064758,0.07158003747463226,0.9838978052139282,0.04773100093007088,0.0009345794678665698
9,0.9205114841461182,0.06479687988758087,0.9805663228034973,0.04936069995164871,0.0009259259095415473
10,0.9222394824028015,0.05985298007726669,0.9789006114006042,0.05086514726281166,0.0009174311999231577
11,0.9262139201164246,0.05591756850481033,0.9755691289901733,0.05110682547092438,0.0009090909152291715
12,0.9272507429122925,0.052914075553417206,0.9739033579826355,0.050922345370054245,0.0009009009227156639
13,0.9284603595733643,0.05032244697213173,0.9716823697090149,0.05057220906019211,0.0008928571478463709
14,0.9298427700996399,0.04829508438706398,0.9722376465797424,0.050020407885313034,0.0008849557489156723
15,0.931916356086731,0.046582501381635666,0.968350887298584,0.05013655498623848,0.0008771930006332695
16,0.9332987666130066,0.04511548951268196,0.9650194048881531,0.049501094967126846,0.0008695652359165251
